                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1922,                0.65051,                  1.087,                0.94083,                0.91906,                0.96201,                0.64835,                 1.1522,                0.48286,                 1.0459,               0.008878,               0.008878,               0.008878
                     36,                 1.1915,                0.64832,                 1.0861,                0.94487,                0.91669,                0.96202,                0.64989,                 1.1496,                0.47996,                 1.0466,               0.008845,               0.008845,               0.008845
                     37,                  1.187,                0.64431,                 1.0852,                0.94105,                0.92092,                0.96271,                0.65168,                 1.1437,                0.47779,                 1.0432,               0.008812,               0.008812,               0.008812
                     38,                 1.1841,                0.64107,                 1.0851,                0.94382,                0.91678,                0.96164,                0.65232,                 1.1438,                0.47978,                 1.0417,               0.008779,               0.008779,               0.008779
                     39,                 1.1869,                 0.6432,                 1.0842,                0.94519,                0.91734,                0.96282,                0.65246,                 1.1449,                0.47832,                 1.0421,               0.008746,               0.008746,               0.008746
                     40,                  1.177,                0.63649,                 1.0781,                0.93785,                 0.9227,                0.96311,                0.65263,                 1.1421,                0.47635,                 1.0431,               0.008713,               0.008713,               0.008713
                     41,                 1.1849,                0.64073,                 1.0848,                 0.9384,                0.92226,                0.96194,                0.65337,                  1.141,                0.47448,                 1.0413,                0.00868,                0.00868,                0.00868
                     42,                 1.1774,                0.63522,                 1.0789,                0.93833,                0.92595,                0.96349,                0.65213,                 1.1462,                0.47458,                  1.044,               0.008647,               0.008647,               0.008647
                     43,                 1.1777,                0.63513,                 1.0767,                0.94423,                0.91666,                0.96248,                0.65283,                 1.1442,                0.47438,                 1.0418,               0.008614,               0.008614,               0.008614
                     44,                 1.1812,                0.63811,                 1.0817,                0.94138,                0.92135,                0.96267,                0.65267,                 1.1391,                0.47131,                 1.0394,               0.008581,               0.008581,               0.008581
                     45,                 1.1769,                0.63324,                 1.0754,                0.94434,                0.91818,                0.96346,                0.65579,                 1.1341,                0.46905,                 1.0374,               0.008548,               0.008548,               0.008548
                     46,                 1.1701,                0.62783,                 1.0753,                0.94673,                0.91418,                0.96307,                0.65416,                 1.1382,                 0.4689,                 1.0378,               0.008515,               0.008515,               0.008515
                     47,                  1.171,                0.62833,                  1.074,                0.93377,                 0.9276,                0.96376,                0.65595,                 1.1385,                0.46895,                 1.0373,               0.008482,               0.008482,               0.008482
                     48,                 1.1698,                0.62657,                 1.0766,                0.94262,                0.91917,                0.96383,                0.65529,                 1.1384,                0.46947,                 1.0385,               0.008449,               0.008449,               0.008449
                     49,                 1.1722,                0.63088,                  1.075,                0.94639,                0.91885,                0.96413,                0.65519,                 1.1397,                0.46894,                 1.0401,               0.008416,               0.008416,               0.008416
                     50,                 1.1691,                 0.6273,                 1.0711,                0.94275,                0.91998,                 0.9642,                0.65554,                 1.1393,                0.46886,                   1.04,               0.008383,               0.008383,               0.008383
                     51,                 1.1682,                0.62792,                 1.0731,                0.94048,                0.92155,                0.96386,                 0.6547,                 1.1395,                0.46946,                 1.0389,                0.00835,                0.00835,                0.00835
                     52,                  1.159,                0.62019,                 1.0669,                0.94067,                0.92049,                0.96371,                0.65595,                 1.1354,                 0.4673,                 1.0361,               0.008317,               0.008317,               0.008317
                     53,                 1.1591,                 0.6227,                 1.0712,                0.93169,                0.92877,                0.96358,                0.65719,                 1.1348,                0.46753,                 1.0361,               0.008284,               0.008284,               0.008284
                     54,                 1.1594,                0.62096,                 1.0738,                0.93771,                0.92559,                0.96348,                0.65654,                 1.1364,                0.46663,                 1.0377,               0.008251,               0.008251,               0.008251
                     55,                 1.1579,                0.61476,                 1.0692,                0.93773,                0.92733,                0.96341,                0.65642,                 1.1382,                0.46556,                 1.0385,               0.008218,               0.008218,               0.008218
                     56,                 1.1612,                0.62088,                 1.0693,                0.93573,                0.92968,                0.96285,                0.65637,                 1.1374,                0.46515,                 1.0383,               0.008185,               0.008185,               0.008185
                     57,                 1.1583,                0.61603,                 1.0666,                0.93641,                0.92916,                 0.9623,                0.65636,                 1.1361,                0.46461,                 1.0381,               0.008152,               0.008152,               0.008152
                     58,                 1.1572,                0.61652,                 1.0676,                 0.9324,                0.93191,                0.96371,                0.65593,                 1.1377,                0.46434,                 1.0387,               0.008119,               0.008119,               0.008119
                     59,                   1.15,                 0.6124,                 1.0651,                0.94179,                0.92069,                0.96286,                  0.656,                 1.1382,                0.46405,                 1.0391,               0.008086,               0.008086,               0.008086
