                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0723,                 2.0762,                 1.8004,                0.75023,                0.18605,                0.34987,                0.15264,                 2.0492,                 13.413,                 1.8612,               0.070033,              0.0033297,              0.0033297
                      1,                 1.8858,                 1.6648,                 1.6484,                0.29243,                0.12182,                0.09541,                 0.0309,                 3.3124,                 3.0444,                 3.9234,               0.040011,              0.0066411,              0.0066411
                      2,                 1.8511,                 1.5737,                 1.6185,                 0.7747,                0.12906,                0.14011,                0.05028,                 2.8852,                 3.5763,                 2.6702,              0.0099666,              0.0099304,              0.0099304
                      3,                 1.8171,                 1.5342,                  1.597,                0.43633,                0.51265,                0.41553,                0.20032,                 1.8104,                 3.5467,                  1.557,               0.009901,               0.009901,               0.009901
                      4,                 1.8018,                 1.4996,                 1.5839,                0.48078,                0.46007,                0.41451,                0.18118,                 2.0614,                 1.6815,                 1.7713,               0.009901,               0.009901,               0.009901
                      5,                 1.8016,                 1.6781,                 1.5818,                0.73296,                0.48362,                0.58318,                0.23859,                  2.121,                 1.7189,                 1.8554,               0.009868,               0.009868,               0.009868
                      6,                  1.772,                 1.4665,                 1.5697,                0.78655,                0.65032,                0.72701,                0.35578,                 1.8282,                 1.2106,                 1.5649,               0.009835,               0.009835,               0.009835
                      7,                 1.7723,                 1.4626,                 1.5677,                0.74734,                0.62204,                0.73007,                0.36765,                 1.7456,                 1.4001,                 1.5357,               0.009802,               0.009802,               0.009802
                      8,                 1.7767,                 1.4483,                 1.5642,                 0.7801,                0.66729,                0.73828,                0.34813,                 1.7368,                 1.4245,                 1.5205,               0.009769,               0.009769,               0.009769
                      9,                 1.7644,                 1.4435,                 1.5585,                0.82775,                0.50235,                0.67719,                 0.3641,                 1.7145,                 1.8954,                  1.517,               0.009736,               0.009736,               0.009736
                     10,                 1.7767,                 1.4564,                  1.564,                0.68588,                0.41719,                0.54141,                0.24022,                 2.1004,                 2.6926,                 1.7336,               0.009703,               0.009703,               0.009703
                     11,                 1.7687,                 1.4303,                 1.5579,                0.78534,                0.71112,                0.75304,                0.35918,                 1.7805,                 1.5309,                 1.5572,                0.00967,                0.00967,                0.00967
                     12,                 1.7608,                 1.4205,                 1.5517,                 0.6655,                0.40445,                0.53502,                 0.2353,                 2.0144,                 1.8502,                 1.7487,               0.009637,               0.009637,               0.009637
                     13,                 1.7651,                 1.5766,                 1.5521,                0.75397,                0.70732,                0.76131,                 0.3917,                 1.5984,                 1.3045,                 1.4393,               0.009604,               0.009604,               0.009604
                     14,                 1.7663,                 1.4291,                 1.5612,                0.76003,                0.61424,                0.70558,                0.36989,                 1.6865,                 1.4041,                 1.5113,               0.009571,               0.009571,               0.009571
                     15,                 1.7705,                 1.4311,                  1.564,                 0.7192,                0.66564,                 0.7128,                 0.3484,                 1.8242,                 2.0031,                 1.5514,               0.009538,               0.009538,               0.009538
                     16,                 1.7498,                 1.3988,                 1.5438,                0.78688,                 0.6191,                0.71953,                0.31271,                 1.9217,                 1.3076,                 1.6317,               0.009505,               0.009505,               0.009505
                     17,                 1.7491,                 1.4124,                 1.5571,                0.81118,                0.71643,                0.79703,                0.42304,                 1.5946,                 1.5018,                 1.4114,               0.009472,               0.009472,               0.009472
                     18,                  1.761,                 1.4238,                 1.5608,                0.83081,                0.67506,                0.79148,                0.43243,                 1.5722,                 1.0888,                 1.4209,               0.009439,               0.009439,               0.009439
                     19,                 1.7599,                 1.4154,                 1.5524,                0.81025,                0.69736,                0.77757,                0.38259,                 1.7815,                 1.0599,                 1.5157,               0.009406,               0.009406,               0.009406
                     20,                 1.7519,                 1.4014,                 1.5552,                0.85249,                0.70721,                0.80119,                0.43306,                 1.5934,                 1.0599,                  1.402,               0.009373,               0.009373,               0.009373
                     21,                 1.7553,                 1.4052,                 1.5463,                0.85124,                0.70636,                 0.8092,                0.42138,                 1.6616,                 1.0745,                 1.4372,                0.00934,                0.00934,                0.00934
                     22,                 1.7465,                 1.4049,                 1.5424,                0.83496,                0.71312,                0.79879,                0.39568,                  1.749,                 1.0345,                 1.4857,               0.009307,               0.009307,               0.009307
                     23,                 1.7627,                 1.4196,                 1.5642,                0.86032,                0.70733,                0.80736,                  0.417,                  1.672,                 1.0674,                   1.46,               0.009274,               0.009274,               0.009274
                     24,                  1.756,                 1.4187,                 1.5542,                0.84886,                0.63664,                0.78729,                0.41558,                 1.6926,                 1.3313,                 1.4827,               0.009241,               0.009241,               0.009241
                     25,                 1.7376,                 1.3966,                 1.5329,                0.84082,                0.66235,                0.77317,                 0.3781,                 1.7905,                 1.2191,                 1.5204,               0.009208,               0.009208,               0.009208
                     26,                 1.7469,                 1.4082,                 1.5478,                0.86449,                0.64239,                0.76775,                0.39974,                 1.7442,                 1.3093,                 1.4899,               0.009175,               0.009175,               0.009175
                     27,                 1.7469,                 1.4233,                 1.5469,                0.82724,                 0.6723,                0.77295,                0.39559,                 1.6767,                 1.1808,                 1.4609,               0.009142,               0.009142,               0.009142
                     28,                 1.7499,                 1.4078,                 1.5439,                0.82172,                0.65397,                0.76608,                0.36297,                  1.886,                 1.1505,                 1.5568,               0.009109,               0.009109,               0.009109
                     29,                 1.7477,                  1.412,                 1.5503,                0.72869,                0.55354,                0.66953,                0.31436,                 1.8582,                 1.5698,                 1.5749,               0.009076,               0.009076,               0.009076
                     30,                 1.7475,                 1.4136,                 1.5467,                 0.7431,                0.61603,                0.69336,                0.31564,                 1.8309,                 1.4106,                 1.5545,               0.009043,               0.009043,               0.009043
