                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6126,                 1.3309,                 1.2998,                0.76959,                0.68378,                0.76934,                  0.426,                 1.6092,                 1.2444,                 1.3164,               0.070033,              0.0033297,              0.0033297
                      1,                  1.569,                 1.1673,                  1.302,                0.86715,                0.82801,                0.88256,                0.48973,                 1.5228,                0.90668,                 1.2541,               0.040011,              0.0066411,              0.0066411
                      2,                 1.5254,                 1.0885,                 1.2909,                0.90192,                0.81352,                0.89457,                0.46236,                 1.6719,                0.87161,                 1.3341,              0.0099666,              0.0099304,              0.0099304
                      3,                 1.4758,                 1.0193,                   1.27,                0.90337,                0.81879,                0.89544,                0.50837,                 1.5044,                0.83662,                 1.2443,               0.009901,               0.009901,               0.009901
                      4,                 1.4607,                0.99322,                 1.2627,                0.91404,                0.84991,                0.91874,                0.49247,                 1.6055,                 0.7917,                 1.3029,               0.009901,               0.009901,               0.009901
                      5,                 1.4535,                0.96751,                  1.258,                0.91039,                0.85883,                0.92128,                0.57253,                 1.3164,                0.71131,                 1.1777,               0.009868,               0.009868,               0.009868
                      6,                 1.4372,                0.95585,                 1.2596,                0.92257,                0.86377,                0.92493,                0.53426,                 1.4987,                0.73759,                 1.2595,               0.009835,               0.009835,               0.009835
                      7,                 1.4207,                0.93797,                 1.2515,                 0.9159,                0.86011,                0.92857,                0.53257,                  1.498,                0.75882,                 1.2622,               0.009802,               0.009802,               0.009802
                      8,                 1.4268,                0.93046,                 1.2514,                0.91318,                0.85892,                0.92145,                0.55143,                 1.4267,                 0.6943,                  1.221,               0.009769,               0.009769,               0.009769
                      9,                 1.4051,                0.91716,                 1.2455,                0.91659,                  0.873,                0.93132,                0.56646,                 1.3743,                0.71038,                  1.213,               0.009736,               0.009736,               0.009736
                     10,                 1.4076,                  0.914,                 1.2433,                 0.9111,                0.87585,                0.93169,                0.56588,                 1.3337,                0.68019,                 1.1772,               0.009703,               0.009703,               0.009703
                     11,                  1.396,                0.90142,                 1.2418,                0.91832,                0.87933,                0.93857,                  0.557,                 1.4201,                0.66765,                 1.2197,                0.00967,                0.00967,                0.00967
                     12,                 1.3942,                0.89832,                 1.2414,                0.92701,                 0.8824,                0.94168,                0.58442,                  1.318,                0.64411,                 1.1817,               0.009637,               0.009637,               0.009637
                     13,                 1.3818,                0.87874,                 1.2327,                0.92136,                0.88157,                0.93878,                0.57661,                 1.3244,                0.66893,                 1.1836,               0.009604,               0.009604,               0.009604
                     14,                 1.3843,                0.88446,                 1.2389,                0.92889,                0.87774,                0.93918,                0.58142,                 1.3168,                0.65846,                 1.1782,               0.009571,               0.009571,               0.009571
                     15,                 1.3758,                0.87727,                 1.2331,                0.92102,                0.88306,                0.93752,                0.56917,                 1.3843,                 0.6653,                 1.2125,               0.009538,               0.009538,               0.009538
                     16,                 1.3718,                0.86257,                 1.2301,                 0.9307,                0.87605,                0.94076,                0.59071,                 1.3171,                0.63462,                 1.1889,               0.009505,               0.009505,               0.009505
                     17,                 1.3678,                 0.8689,                 1.2325,                0.93075,                0.88448,                0.94273,                0.59931,                 1.2659,                0.63515,                 1.1558,               0.009472,               0.009472,               0.009472
                     18,                 1.3633,                0.85859,                  1.229,                0.92438,                 0.8918,                0.94518,                0.59054,                 1.2901,                  0.623,                 1.1702,               0.009439,               0.009439,               0.009439
                     19,                 1.3661,                0.86178,                 1.2257,                 0.9229,                0.88387,                0.94293,                0.59484,                  1.303,                0.60736,                 1.1723,               0.009406,               0.009406,               0.009406
                     20,                 1.3577,                0.85619,                 1.2283,                0.93021,                 0.8869,                0.94295,                0.59577,                 1.2906,                0.60935,                 1.1667,               0.009373,               0.009373,               0.009373
                     21,                 1.3621,                0.85778,                 1.2248,                0.92619,                0.89755,                0.94712,                0.60999,                 1.2461,                 0.5945,                 1.1467,                0.00934,                0.00934,                0.00934
                     22,                 1.3581,                0.84791,                 1.2215,                0.92741,                0.88855,                0.94593,                0.59724,                  1.277,                0.60526,                 1.1638,               0.009307,               0.009307,               0.009307
                     23,                 1.3501,                0.84621,                  1.223,                0.92761,                0.89688,                0.94916,                0.59335,                 1.3264,                0.59987,                 1.1811,               0.009274,               0.009274,               0.009274
                     24,                  1.354,                0.84688,                 1.2232,                0.93089,                0.88954,                0.94791,                0.61253,                 1.2568,                0.59529,                 1.1536,               0.009241,               0.009241,               0.009241
                     25,                 1.3445,                0.83505,                 1.2148,                0.92725,                0.90195,                0.94995,                0.59971,                 1.2933,                0.58356,                 1.1625,               0.009208,               0.009208,               0.009208
                     26,                 1.3416,                0.83747,                 1.2158,                0.91796,                0.90677,                0.95026,                0.60027,                 1.2913,                0.58566,                 1.1698,               0.009175,               0.009175,               0.009175
                     27,                 1.3393,                0.83509,                 1.2176,                0.93041,                0.89954,                0.95002,                0.60904,                 1.2699,                0.58786,                 1.1575,               0.009142,               0.009142,               0.009142
                     28,                 1.3487,                 0.8318,                 1.2187,                0.93327,                0.90086,                0.94946,                0.60893,                 1.2684,                0.58507,                 1.1568,               0.009109,               0.009109,               0.009109
                     29,                 1.3419,                  0.833,                 1.2198,                0.93567,                0.89173,                0.94893,                0.61069,                 1.2631,                0.57416,                 1.1527,               0.009076,               0.009076,               0.009076
                     30,                 1.3369,                0.82988,                 1.2162,                0.93309,                0.89669,                0.94966,                0.61113,                 1.2633,                0.57412,                  1.156,               0.009043,               0.009043,               0.009043
                     31,                 1.3321,                 0.8218,                 1.2158,                0.92927,                0.89954,                0.94972,                0.61221,                 1.2494,                0.57456,                 1.1452,                0.00901,                0.00901,                0.00901
                     32,                  1.338,                0.82273,                 1.2171,                0.93352,                0.90038,                0.95061,                0.61978,                 1.2284,                0.56618,                 1.1403,               0.008977,               0.008977,               0.008977
                     33,                 1.3276,                0.81884,                 1.2165,                0.93152,                0.90277,                0.95193,                0.61865,                 1.2369,                0.56642,                 1.1404,               0.008944,               0.008944,               0.008944
                     34,                 1.3328,                0.82023,                 1.2114,                0.93351,                0.90455,                0.95244,                0.61431,                 1.2523,                0.56983,                 1.1497,               0.008911,               0.008911,               0.008911
                     35,                 1.3297,                 0.8145,                 1.2126,                0.92306,                0.90475,                0.95275,                0.62073,                 1.2378,                0.56399,                 1.1421,               0.008878,               0.008878,               0.008878
                     36,                 1.3301,                0.81845,                 1.2098,                0.93394,                0.89642,                0.95161,                0.62449,                 1.2253,                0.56458,                 1.1368,               0.008845,               0.008845,               0.008845
                     37,                 1.3285,                0.80995,                 1.2143,                0.93882,                0.89218,                0.95223,                 0.6237,                  1.233,                0.56245,                 1.1422,               0.008812,               0.008812,               0.008812
                     38,                 1.3257,                0.81055,                 1.2107,                0.92775,                0.90762,                0.95298,                0.61902,                 1.2502,                 0.5622,                 1.1472,               0.008779,               0.008779,               0.008779
                     39,                   1.33,                0.80759,                 1.2116,                0.93239,                0.90037,                0.95332,                0.61963,                 1.2447,                0.56348,                 1.1436,               0.008746,               0.008746,               0.008746
                     40,                 1.3224,                0.80211,                  1.205,                  0.931,                0.90483,                0.95241,                0.62196,                 1.2329,                0.55788,                 1.1385,               0.008713,               0.008713,               0.008713
                     41,                 1.3288,                0.80737,                 1.2101,                0.92774,                0.90861,                0.95327,                0.61942,                  1.233,                0.55638,                 1.1391,                0.00868,                0.00868,                0.00868
                     42,                 1.3191,                0.80135,                 1.2013,                0.93282,                0.90733,                0.95477,                0.61907,                 1.2392,                0.55158,                 1.1414,               0.008647,               0.008647,               0.008647
                     43,                 1.3241,                0.80389,                 1.2059,                0.93455,                0.90301,                0.95496,                0.62142,                 1.2404,                0.55405,                 1.1409,               0.008614,               0.008614,               0.008614
                     44,                 1.3286,                0.81414,                 1.2116,                0.92765,                0.90925,                0.95446,                0.62259,                  1.231,                0.55195,                 1.1389,               0.008581,               0.008581,               0.008581
                     45,                 1.3227,                0.80512,                 1.2064,                0.92848,                0.90427,                0.95462,                0.62456,                 1.2217,                0.55083,                 1.1358,               0.008548,               0.008548,               0.008548
                     46,                 1.3193,                0.79996,                 1.2068,                0.92934,                0.90846,                0.95506,                0.62141,                 1.2348,                0.55202,                 1.1416,               0.008515,               0.008515,               0.008515
                     47,                 1.3211,                0.79879,                  1.207,                0.93492,                0.90533,                0.95586,                0.62397,                 1.2321,                0.54917,                   1.14,               0.008482,               0.008482,               0.008482
                     48,                 1.3172,                 0.8019,                 1.2042,                0.93661,                0.90779,                0.95576,                0.62493,                 1.2272,                 0.5467,                 1.1366,               0.008449,               0.008449,               0.008449
                     49,                 1.3169,                0.80335,                 1.2043,                0.93375,                0.90894,                0.95627,                0.62683,                 1.2229,                0.54619,                 1.1347,               0.008416,               0.008416,               0.008416
                     50,                 1.3184,                0.80036,                 1.2025,                0.93328,                0.90825,                0.95752,                0.62708,                 1.2185,                0.54603,                 1.1321,               0.008383,               0.008383,               0.008383
                     51,                  1.319,                0.80105,                 1.2062,                0.93641,                0.90685,                0.95746,                0.62779,                 1.2197,                0.54659,                 1.1334,                0.00835,                0.00835,                0.00835
                     52,                 1.3046,                0.79184,                  1.199,                0.93327,                0.90701,                0.95633,                0.62763,                 1.2229,                0.54658,                 1.1351,               0.008317,               0.008317,               0.008317
                     53,                   1.31,                0.79701,                 1.2036,                0.93148,                0.90851,                0.95649,                0.62841,                 1.2198,                0.54426,                 1.1335,               0.008284,               0.008284,               0.008284
                     54,                 1.3131,                0.79671,                 1.2091,                0.93453,                0.90448,                0.95644,                0.62923,                 1.2142,                 0.5445,                 1.1315,               0.008251,               0.008251,               0.008251
                     55,                 1.3065,                0.78534,                 1.2022,                0.92958,                0.90643,                0.95557,                0.63011,                 1.2144,                0.54384,                 1.1325,               0.008218,               0.008218,               0.008218
                     56,                 1.3136,                0.79084,                 1.2033,                0.93525,                0.90361,                0.95675,                0.62968,                 1.2162,                0.54349,                 1.1335,               0.008185,               0.008185,               0.008185
