                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5056,                 1.4997,                 1.2816,                0.88427,                0.85134,                 0.9068,                0.50681,                  1.447,                0.85394,                  1.186,               0.070033,              0.0033297,              0.0033297
                      1,                 1.4132,                 1.0091,                 1.1912,                0.91044,                0.85615,                0.92298,                0.54912,                 1.3664,                0.78197,                 1.1429,               0.040011,              0.0066411,              0.0066411
                      2,                 1.4298,                 1.0045,                  1.197,                0.89563,                0.84607,                0.91206,                0.52033,                 1.4484,                0.84705,                 1.1761,              0.0099666,              0.0099304,              0.0099304
                      3,                 1.4208,                0.97422,                 1.1933,                0.92572,                0.85987,                0.92687,                0.53825,                 1.4258,                0.75179,                  1.159,               0.009901,               0.009901,               0.009901
                      4,                 1.3863,                0.91498,                 1.1782,                0.91436,                0.87702,                0.93394,                  0.581,                 1.2946,                 0.6806,                 1.1111,               0.009901,               0.009901,               0.009901
                      5,                 1.3591,                0.87107,                  1.163,                0.92294,                0.88059,                0.93841,                0.57637,                 1.3305,                0.65431,                 1.1257,               0.009868,               0.009868,               0.009868
                      6,                 1.3373,                0.84065,                 1.1609,                0.92803,                 0.8816,                0.94285,                0.59878,                 1.2501,                0.63149,                 1.0939,               0.009835,               0.009835,               0.009835
                      7,                 1.3202,                0.81373,                 1.1503,                0.92351,                0.89644,                0.94245,                0.59398,                 1.2763,                0.63789,                 1.1049,               0.009802,               0.009802,               0.009802
                      8,                 1.3165,                0.79968,                 1.1472,                0.92928,                0.89555,                0.94494,                0.60595,                 1.2521,                0.59847,                  1.101,               0.009769,               0.009769,               0.009769
                      9,                 1.2959,                0.78436,                 1.1404,                 0.9218,                0.89353,                0.94594,                 0.6121,                 1.2161,                0.60756,                 1.0837,               0.009736,               0.009736,               0.009736
                     10,                 1.2962,                0.77272,                 1.1367,                0.92312,                0.89983,                0.94834,                0.61796,                   1.21,                0.57914,                 1.0793,               0.009703,               0.009703,               0.009703
