                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5049,                 1.5011,                 1.2768,                0.88841,                0.85637,                0.91573,                0.50886,                 1.4636,                0.85984,                 1.1959,               0.070033,              0.0033297,              0.0033297
                      1,                 1.4115,                 1.0082,                 1.1869,                0.91312,                0.84109,                0.91464,                 0.5276,                 1.4574,                0.79718,                 1.1877,               0.040011,              0.0066411,              0.0066411
                      2,                 1.4272,                      1,                 1.1908,                0.88958,                0.82231,                0.88863,                0.43695,                 1.7292,                0.90056,                 1.3065,              0.0099666,              0.0099304,              0.0099304
                      3,                 1.4194,                0.98204,                 1.1864,                0.91837,                0.86267,                0.92427,                0.56023,                 1.3445,                0.71873,                 1.1273,               0.009901,               0.009901,               0.009901
                      4,                 1.3888,                0.91628,                 1.1744,                0.91868,                0.87365,                0.93452,                0.58851,                 1.2643,                0.66341,                   1.09,               0.009901,               0.009901,               0.009901
                      5,                 1.3576,                0.87147,                 1.1582,                0.93066,                0.86876,                0.93525,                0.58419,                 1.3071,                0.66455,                 1.1103,               0.009868,               0.009868,               0.009868
                      6,                  1.338,                0.84182,                 1.1569,                0.92113,                0.88949,                0.93744,                0.59052,                 1.2716,                0.65393,                 1.0986,               0.009835,               0.009835,               0.009835
                      7,                 1.3212,                0.81488,                 1.1483,                0.92748,                0.88719,                0.94215,                0.59202,                 1.2806,                0.63922,                 1.0999,               0.009802,               0.009802,               0.009802
                      8,                 1.3172,                0.80147,                 1.1416,                0.93129,                0.88833,                0.94143,                0.60755,                 1.2478,                0.59981,                 1.0943,               0.009769,               0.009769,               0.009769
                      9,                 1.2972,                0.78445,                 1.1357,                0.92312,                0.89699,                0.94565,                0.60211,                 1.2513,                0.59831,                 1.0919,               0.009736,               0.009736,               0.009736
                     10,                 1.2931,                0.77255,                 1.1314,                0.93993,                0.89335,                0.95055,                0.61897,                 1.2249,                0.57405,                  1.076,               0.009703,               0.009703,               0.009703
                     11,                 1.2827,                0.76013,                 1.1277,                 0.9415,                0.89913,                0.95272,                0.61137,                 1.2415,                0.57432,                 1.0851,                0.00967,                0.00967,                0.00967
                     12,                 1.2754,                0.74842,                 1.1242,                0.93384,                0.89942,                0.95181,                0.62928,                  1.193,                0.55614,                   1.07,               0.009637,               0.009637,               0.009637
                     13,                 1.2616,                0.72976,                  1.118,                0.93259,                0.89799,                0.94992,                0.62518,                 1.2026,                0.55305,                 1.0701,               0.009604,               0.009604,               0.009604
                     14,                 1.2593,                0.72923,                 1.1166,                0.93949,                 0.8996,                0.95361,                0.62951,                  1.186,                0.53943,                 1.0598,               0.009571,               0.009571,               0.009571
                     15,                 1.2536,                0.72108,                 1.1141,                0.92978,                0.90845,                0.95135,                0.61923,                 1.2219,                0.55746,                 1.0711,               0.009538,               0.009538,               0.009538
                     16,                 1.2478,                0.71399,                 1.1124,                0.93497,                 0.9095,                0.95436,                0.62761,                 1.1982,                0.54335,                 1.0687,               0.009505,               0.009505,               0.009505
                     17,                 1.2372,                0.71105,                 1.1065,                0.93336,                0.90516,                0.95406,                 0.6301,                 1.1952,                0.53392,                 1.0632,               0.009472,               0.009472,               0.009472
                     18,                 1.2358,                  0.702,                 1.1084,                0.93557,                0.90391,                0.95553,                0.62882,                 1.1748,                0.52883,                 1.0584,               0.009439,               0.009439,               0.009439
                     19,                 1.2427,                0.70443,                 1.1067,                0.93326,                0.91811,                 0.9559,                0.63152,                 1.2012,                0.52637,                 1.0618,               0.009406,               0.009406,               0.009406
                     20,                  1.232,                0.69987,                 1.1051,                0.93302,                0.91388,                0.95486,                0.62869,                 1.2025,                0.52625,                 1.0651,               0.009373,               0.009373,               0.009373
                     21,                  1.236,                0.69562,                  1.102,                0.93715,                0.92007,                0.95851,                0.63422,                 1.1845,                0.51411,                 1.0522,                0.00934,                0.00934,                0.00934
                     22,                 1.2285,                0.68777,                 1.1013,                0.94041,                 0.9102,                0.95636,                0.63476,                 1.1788,                0.51747,                 1.0546,               0.009307,               0.009307,               0.009307
                     23,                 1.2229,                0.68685,                 1.1011,                0.92955,                0.92141,                0.96123,                0.64223,                  1.174,                0.51146,                 1.0532,               0.009274,               0.009274,               0.009274
                     24,                 1.2204,                0.68303,                 1.0981,                 0.9457,                0.90713,                0.95903,                0.64312,                 1.1616,                0.50939,                 1.0502,               0.009241,               0.009241,               0.009241
                     25,                 1.2126,                0.67664,                 1.0951,                0.94009,                0.91342,                0.95918,                0.63611,                 1.1798,                0.50754,                 1.0594,               0.009208,               0.009208,               0.009208
                     26,                 1.2081,                 0.6724,                 1.0945,                0.94197,                0.91414,                0.95987,                0.64308,                 1.1693,                 0.5026,                 1.0545,               0.009175,               0.009175,               0.009175
                     27,                 1.2078,                0.67336,                 1.0952,                0.94432,                0.91011,                 0.9602,                0.64669,                 1.1563,                0.49884,                 1.0505,               0.009142,               0.009142,               0.009142
                     28,                  1.212,                 0.6701,                 1.0933,                0.94129,                0.91764,                0.96106,                0.64483,                 1.1656,                0.49703,                 1.0513,               0.009109,               0.009109,               0.009109
                     29,                 1.2081,                0.66713,                 1.0946,                0.94285,                0.91228,                0.95743,                0.64529,                 1.1494,                0.49909,                 1.0448,               0.009076,               0.009076,               0.009076
                     30,                 1.2041,                0.66324,                 1.0922,                0.93717,                0.92124,                0.96077,                0.64658,                 1.1567,                0.49538,                 1.0465,               0.009043,               0.009043,               0.009043
                     31,                 1.1975,                0.65848,                 1.0895,                0.94125,                 0.9184,                0.96098,                0.64599,                  1.161,                0.49361,                 1.0499,                0.00901,                0.00901,                0.00901
                     32,                 1.1984,                0.65945,                 1.0881,                0.94355,                0.92099,                0.96058,                0.64711,                 1.1598,                0.48835,                 1.0507,               0.008977,               0.008977,               0.008977
                     33,                 1.1946,                0.65515,                 1.0881,                0.93921,                0.92001,                0.96062,                0.64498,                 1.1649,                 0.4888,                 1.0466,               0.008944,               0.008944,               0.008944
                     34,                 1.1927,                0.65414,                 1.0844,                0.94169,                0.91666,                0.96065,                0.64762,                 1.1586,                0.49071,                 1.0454,               0.008911,               0.008911,               0.008911
                     35,                 1.1927,                0.65312,                 1.0856,                0.94425,                0.91573,                0.96214,                0.64892,                 1.1559,                0.48833,                 1.0451,               0.008878,               0.008878,               0.008878
                     36,                 1.1907,                0.64905,                 1.0837,                0.94791,                0.92037,                 0.9622,                 0.6526,                 1.1453,                0.48057,                 1.0421,               0.008845,               0.008845,               0.008845
                     37,                 1.1892,                0.64458,                 1.0857,                0.94394,                0.91928,                0.96299,                0.65228,                 1.1444,                0.48139,                 1.0409,               0.008812,               0.008812,               0.008812
                     38,                 1.1835,                0.64218,                 1.0834,                0.93446,                0.92471,                0.96107,                0.65103,                 1.1516,                0.47966,                 1.0439,               0.008779,               0.008779,               0.008779
                     39,                 1.1858,                0.64351,                 1.0823,                 0.9365,                0.92301,                0.96279,                0.65358,                 1.1458,                0.47801,                 1.0425,               0.008746,               0.008746,               0.008746
                     40,                 1.1777,                0.63694,                 1.0739,                0.94353,                0.91628,                0.96322,                 0.6543,                 1.1466,                0.47693,                 1.0396,               0.008713,               0.008713,               0.008713
                     41,                  1.183,                0.64143,                 1.0792,                0.93751,                0.92219,                0.96384,                0.65321,                 1.1453,                 0.4755,                 1.0387,                0.00868,                0.00868,                0.00868
                     42,                 1.1785,                0.63829,                 1.0731,                0.93523,                0.92491,                0.96397,                0.65341,                 1.1495,                0.47658,                 1.0399,               0.008647,               0.008647,               0.008647
                     43,                 1.1771,                0.63541,                 1.0736,                0.94213,                0.92113,                0.96298,                0.65444,                 1.1483,                0.47605,                 1.0408,               0.008614,               0.008614,               0.008614
                     44,                 1.1772,                0.63715,                 1.0761,                  0.944,                0.91676,                0.96199,                 0.6554,                 1.1409,                  0.474,                 1.0372,               0.008581,               0.008581,               0.008581
                     45,                 1.1769,                0.63288,                 1.0715,                 0.9394,                0.92485,                0.96333,                0.65516,                 1.1382,                0.47326,                 1.0367,               0.008548,               0.008548,               0.008548
                     46,                 1.1687,                0.62859,                 1.0733,                 0.9441,                0.91891,                0.96207,                0.65381,                 1.1436,                0.47427,                 1.0388,               0.008515,               0.008515,               0.008515
                     47,                 1.1705,                0.63208,                  1.073,                0.94359,                0.91848,                0.96204,                0.65452,                  1.143,                0.47437,                 1.0381,               0.008482,               0.008482,               0.008482
                     48,                 1.1701,                 0.6284,                 1.0737,                 0.9426,                0.91994,                0.96145,                0.65419,                 1.1418,                 0.4726,                 1.0383,               0.008449,               0.008449,               0.008449
                     49,                 1.1705,                0.63061,                  1.074,                0.94223,                0.92173,                0.96261,                 0.6537,                 1.1432,                0.47209,                 1.0405,               0.008416,               0.008416,               0.008416
                     50,                 1.1696,                0.62835,                 1.0724,                0.94199,                0.92126,                0.96189,                0.65379,                 1.1419,                0.47165,                 1.0412,               0.008383,               0.008383,               0.008383
                     51,                 1.1662,                0.62769,                 1.0714,                0.94074,                0.92055,                 0.9628,                0.65234,                 1.1426,                0.47121,                 1.0404,                0.00835,                0.00835,                0.00835
                     52,                 1.1558,                0.61779,                  1.068,                0.94251,                0.92105,                0.96246,                0.65323,                 1.1431,                0.47129,                 1.0404,               0.008317,               0.008317,               0.008317
                     53,                 1.1603,                0.62453,                 1.0693,                0.94285,                0.92123,                0.96212,                0.65358,                 1.1452,                0.47108,                 1.0404,               0.008284,               0.008284,               0.008284
                     54,                 1.1614,                 0.6227,                 1.0708,                0.94163,                0.92233,                0.96227,                 0.6535,                 1.1458,                0.47002,                 1.0409,               0.008251,               0.008251,               0.008251
