                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0557,                 2.0586,                 1.7894,                0.26618,                0.32598,                0.20558,                0.07964,                 2.0457,                 47.685,                 1.9386,               0.070033,              0.0033297,              0.0033297
                      1,                 1.8816,                 1.6757,                 1.6442,                0.46431,                0.38334,                0.35047,                0.13028,                 2.4715,                 39.954,                 2.0036,               0.040011,              0.0066411,              0.0066411
                      2,                 1.8502,                 1.5779,                 1.6174,                0.51623,                0.12354,                0.13716,                0.05712,                 2.7027,                 2.9524,                 2.6503,              0.0099666,              0.0099304,              0.0099304
                      3,                 1.8167,                 1.5258,                 1.5926,                0.71754,                0.52148,                0.61485,                 0.3082,                 1.7505,                   1.95,                 1.6249,               0.009901,               0.009901,               0.009901
                      4,                 1.8049,                 1.5068,                 1.5858,                0.75824,                0.62472,                0.72502,                0.36227,                 1.6968,                  1.326,                 1.5433,               0.009901,               0.009901,               0.009901
                      5,                 1.7921,                 1.4846,                 1.5727,                0.50498,                 0.4895,                0.45739,                0.21029,                 2.1125,                  3.136,                 1.7343,               0.009868,               0.009868,               0.009868
                      6,                 1.7765,                 1.4811,                  1.572,                0.46927,                0.54989,                0.42064,                0.20848,                 1.6706,                 3.3789,                 1.6129,               0.009835,               0.009835,               0.009835
                      7,                 1.7771,                 1.4733,                 1.5725,                0.78901,                0.65226,                0.73174,                0.35653,                 1.8139,                 1.3034,                 1.5576,               0.009802,               0.009802,               0.009802
                      8,                 1.7837,                 1.4775,                 1.5663,                0.81192,                0.66412,                0.76565,                0.36513,                 1.7701,                 1.4245,                  1.523,               0.009769,               0.009769,               0.009769
                      9,                 1.7641,                 1.4459,                 1.5551,                0.76523,                0.63801,                0.70556,                0.31128,                 1.9906,                 1.2555,                  1.648,               0.009736,               0.009736,               0.009736
                     10,                 1.7734,                 1.4549,                 1.5567,                0.78204,                0.63378,                0.69185,                 0.2804,                 2.0833,                 1.6225,                 1.7075,               0.009703,               0.009703,               0.009703
                     11,                 1.7631,                 1.4428,                 1.5571,                0.76735,                0.61777,                0.68651,                0.32368,                  1.873,                 1.3269,                 1.5873,                0.00967,                0.00967,                0.00967
                     12,                 1.7603,                 1.4313,                 1.5503,                0.78876,                0.64387,                0.76673,                0.41246,                 1.5983,                 1.4051,                 1.4448,               0.009637,               0.009637,               0.009637
                     13,                 1.7466,                 1.4176,                 1.5417,                0.80071,                0.68991,                0.77193,                0.35566,                 1.8556,                  1.165,                 1.5752,               0.009604,               0.009604,               0.009604
                     14,                 1.7649,                 1.4358,                 1.5578,                 0.7645,                0.66829,                0.75852,                0.37491,                 1.6927,                 1.1832,                 1.4816,               0.009571,               0.009571,               0.009571
                     15,                 1.7661,                 1.4348,                 1.5579,                0.82054,                0.62304,                 0.7325,                 0.3717,                 1.8088,                 1.3406,                  1.524,               0.009538,               0.009538,               0.009538
                     16,                 1.7503,                 1.4238,                 1.5461,                0.80069,                0.67012,                0.77732,                0.39443,                 1.6868,                 1.1659,                  1.469,               0.009505,               0.009505,               0.009505
                     17,                 1.7532,                 1.4304,                 1.5582,                0.76443,                 0.6427,                0.77027,                0.36651,                 1.7681,                 1.2118,                 1.5027,               0.009472,               0.009472,               0.009472
                     18,                 1.7532,                 1.4295,                 1.5562,                0.80985,                0.72486,                0.79193,                0.40458,                 1.6512,                 1.1883,                 1.4442,               0.009439,               0.009439,               0.009439
                     19,                 1.7684,                 1.4318,                 1.5558,                0.82121,                0.72705,                0.80743,                0.40634,                 1.7077,                  1.026,                 1.4586,               0.009406,               0.009406,               0.009406
                     20,                  1.765,                 1.4287,                 1.5616,                 0.8038,                0.74811,                 0.8069,                0.41085,                 1.6169,                 1.1217,                  1.424,               0.009373,               0.009373,               0.009373
                     21,                 1.7547,                 1.4164,                 1.5462,                0.64149,                0.64677,                  0.659,                0.33293,                 1.6796,                 1.1921,                 1.4876,                0.00934,                0.00934,                0.00934
                     22,                 1.7542,                 1.4275,                  1.544,                0.58135,                0.63864,                0.60313,                0.27462,                 1.8554,                 1.3594,                 1.6064,               0.009307,               0.009307,               0.009307
                     23,                 1.7557,                  1.426,                 1.5564,                0.55177,                0.61416,                0.57653,                0.26357,                 1.8496,                 1.4372,                 1.5981,               0.009274,               0.009274,               0.009274
                     24,                 1.7573,                 1.4269,                 1.5536,                0.58806,                0.64486,                0.61274,                0.27696,                  1.821,                 1.2958,                 1.5842,               0.009241,               0.009241,               0.009241
                     25,                 1.7464,                 1.4091,                 1.5389,                0.54996,                0.65924,                0.59359,                0.27484,                 1.8471,                 1.3182,                 1.5889,               0.009208,               0.009208,               0.009208
                     26,                 1.7559,                 1.4264,                 1.5485,                0.55765,                0.63841,                0.59341,                0.28368,                 1.8081,                 1.3326,                 1.5742,               0.009175,               0.009175,               0.009175
                     27,                  1.748,                 1.4196,                 1.5466,                0.55843,                0.62254,                0.59216,                0.27692,                  1.854,                 1.3177,                  1.595,               0.009142,               0.009142,               0.009142
                     28,                 1.7527,                 1.4135,                 1.5449,                0.53581,                0.58395,                0.55901,                0.26567,                 1.8639,                 1.4639,                 1.6065,               0.009109,               0.009109,               0.009109
                     29,                 1.7482,                 1.4217,                 1.5526,                0.56243,                 0.5773,                0.57379,                0.24981,                 1.9304,                 1.3817,                 1.6406,               0.009076,               0.009076,               0.009076
                     30,                 1.7484,                 1.4078,                 1.5441,                0.53143,                0.57888,                0.53699,                0.23865,                 2.0295,                 1.4316,                 1.6732,               0.009043,               0.009043,               0.009043
                     31,                 1.7473,                 1.4076,                 1.5517,                0.56103,                0.56271,                0.55131,                0.24238,                 2.0278,                 1.4473,                 1.6645,                0.00901,                0.00901,                0.00901
                     32,                 1.7491,                 1.4066,                 1.5451,                0.57138,                 0.5758,                0.56088,                0.25265,                 1.9827,                 1.4226,                 1.6486,               0.008977,               0.008977,               0.008977
                     33,                 1.7421,                 1.4102,                 1.5486,                0.56691,                 0.5834,                0.56146,                0.26436,                 1.9461,                 1.4006,                 1.6341,               0.008944,               0.008944,               0.008944
