                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6108,                 1.3376,                 1.3099,                0.84268,                 0.7472,                0.83403,                0.45246,                 1.5471,                0.99694,                   1.26,               0.070033,              0.0033297,              0.0033297
                      1,                 1.5701,                 1.1675,                 1.3087,                0.87259,                0.79291,                0.87345,                0.51315,                 1.4101,                0.89453,                 1.2174,               0.040011,              0.0066411,              0.0066411
                      2,                 1.5281,                 1.0859,                  1.301,                0.89617,                0.81127,                0.88745,                0.48382,                 1.5418,                0.87092,                 1.2825,              0.0099666,              0.0099304,              0.0099304
                      3,                  1.481,                 1.0179,                 1.2793,                 0.8962,                0.84573,                0.90508,                0.49486,                 1.5793,                0.79842,                 1.2868,               0.009901,               0.009901,               0.009901
                      4,                 1.4628,                0.99121,                 1.2719,                0.90644,                0.84796,                 0.9126,                0.47874,                 1.6658,                0.78331,                 1.3408,               0.009901,               0.009901,               0.009901
                      5,                 1.4505,                0.97181,                 1.2668,                0.91588,                0.85424,                0.91763,                0.52449,                 1.5006,                0.75382,                 1.2661,               0.009868,               0.009868,               0.009868
                      6,                 1.4339,                0.95526,                 1.2649,                0.91328,                0.86697,                0.92709,                0.50383,                 1.5992,                0.75392,                 1.3155,               0.009835,               0.009835,               0.009835
                      7,                 1.4187,                0.92963,                 1.2541,                0.91599,                0.85707,                0.92818,                0.55151,                 1.4096,                0.76385,                 1.2315,               0.009802,               0.009802,               0.009802
                      8,                 1.4245,                0.92599,                 1.2537,                0.92318,                0.87094,                0.93277,                0.58526,                 1.3314,                0.66185,                 1.1862,               0.009769,               0.009769,               0.009769
                      9,                  1.398,                0.91118,                 1.2448,                0.91111,                0.87459,                0.93389,                 0.5574,                 1.3973,                0.71097,                 1.2316,               0.009736,               0.009736,               0.009736
                     10,                 1.4074,                0.90742,                  1.247,                0.92711,                0.87335,                0.93614,                0.58445,                  1.326,                0.67033,                 1.1836,               0.009703,               0.009703,               0.009703
                     11,                 1.3929,                0.89608,                  1.244,                0.92502,                0.88113,                0.93777,                0.57325,                 1.3611,                0.68483,                 1.1982,                0.00967,                0.00967,                0.00967
                     12,                 1.3859,                 0.8895,                 1.2394,                0.92279,                0.88685,                0.93815,                0.59106,                 1.2782,                0.66759,                 1.1674,               0.009637,               0.009637,               0.009637
                     13,                 1.3759,                0.86977,                 1.2305,                 0.9195,                0.88308,                  0.939,                0.58097,                 1.3205,                0.63762,                 1.1827,               0.009604,               0.009604,               0.009604
                     14,                 1.3791,                0.87719,                 1.2357,                0.93383,                0.87538,                 0.9416,                0.58888,                  1.305,                0.65025,                 1.1772,               0.009571,               0.009571,               0.009571
                     15,                 1.3777,                0.87485,                 1.2344,                0.93042,                0.88446,                 0.9404,                0.56982,                 1.3909,                0.66774,                 1.2033,               0.009538,               0.009538,               0.009538
                     16,                 1.3699,                0.86103,                 1.2312,                0.92855,                0.88787,                0.94189,                0.59957,                 1.2833,                0.61977,                 1.1703,               0.009505,               0.009505,               0.009505
                     17,                 1.3621,                0.86513,                 1.2316,                0.93145,                0.88588,                0.94408,                0.60217,                 1.2561,                0.63123,                 1.1521,               0.009472,               0.009472,               0.009472
                     18,                 1.3586,                 0.8555,                  1.229,                0.93322,                0.88695,                0.94538,                0.59879,                 1.2794,                0.61831,                 1.1678,               0.009439,               0.009439,               0.009439
                     19,                  1.371,                0.86008,                 1.2297,                0.92218,                0.88936,                0.94679,                0.58567,                 1.3494,                0.62242,                 1.1971,               0.009406,               0.009406,               0.009406
                     20,                 1.3614,                0.86115,                 1.2303,                0.93026,                0.89066,                0.94583,                0.57694,                 1.3584,                0.62512,                 1.1934,               0.009373,               0.009373,               0.009373
                     21,                 1.3606,                0.85643,                 1.2245,                0.92834,                0.89878,                0.95051,                0.60571,                 1.2768,                0.60053,                 1.1599,                0.00934,                0.00934,                0.00934
                     22,                 1.3614,                0.84568,                 1.2238,                0.93197,                0.89195,                0.94695,                0.60589,                 1.2629,                 0.5988,                 1.1511,               0.009307,               0.009307,               0.009307
                     23,                 1.3578,                0.85017,                 1.2274,                0.93111,                0.89631,                0.94806,                0.60177,                  1.289,                0.60144,                 1.1626,               0.009274,               0.009274,               0.009274
                     24,                 1.3607,                0.84701,                 1.2274,                0.93742,                0.89124,                0.94694,                0.61403,                 1.2401,                0.59384,                 1.1446,               0.009241,               0.009241,               0.009241
                     25,                 1.3514,                0.84155,                 1.2158,                0.93817,                0.88974,                0.94478,                0.60338,                  1.275,                0.59105,                 1.1577,               0.009208,               0.009208,               0.009208
                     26,                 1.3467,                0.83595,                  1.217,                0.93296,                0.89637,                0.94734,                0.61387,                 1.2443,                0.58075,                 1.1511,               0.009175,               0.009175,               0.009175
                     27,                 1.3408,                0.83127,                 1.2184,                0.93638,                0.89981,                 0.9502,                0.60999,                 1.2661,                 0.5781,                  1.154,               0.009142,               0.009142,               0.009142
                     28,                 1.3496,                0.83272,                 1.2163,                0.93707,                0.90121,                0.95014,                0.60065,                 1.2912,                0.58455,                 1.1631,               0.009109,               0.009109,               0.009109
                     29,                 1.3474,                0.83372,                 1.2226,                0.93815,                0.90017,                0.95058,                0.61738,                 1.2336,                0.57342,                 1.1467,               0.009076,               0.009076,               0.009076
                     30,                 1.3399,                0.83171,                 1.2177,                0.92775,                0.90672,                0.94941,                0.61888,                 1.2364,                0.57241,                 1.1452,               0.009043,               0.009043,               0.009043
                     31,                 1.3383,                0.82498,                 1.2175,                0.93088,                0.90819,                0.95021,                0.60771,                 1.2641,                 0.5742,                 1.1557,                0.00901,                0.00901,                0.00901
                     32,                 1.3419,                0.82938,                 1.2174,                0.93323,                0.90417,                0.95031,                0.61642,                 1.2441,                0.56552,                 1.1479,               0.008977,               0.008977,               0.008977
                     33,                 1.3307,                0.82068,                  1.217,                0.92791,                0.91035,                0.95267,                0.61876,                 1.2501,                0.56527,                 1.1471,               0.008944,               0.008944,               0.008944
                     34,                  1.332,                0.82136,                 1.2119,                0.93047,                 0.9104,                0.95204,                0.61862,                 1.2411,                0.56794,                 1.1459,               0.008911,               0.008911,               0.008911
                     35,                  1.331,                0.81261,                 1.2115,                0.93344,                0.90568,                0.95271,                0.61505,                 1.2614,                0.56732,                 1.1518,               0.008878,               0.008878,               0.008878
                     36,                 1.3291,                0.81526,                 1.2095,                0.93228,                0.90261,                0.95158,                0.62117,                 1.2339,                0.56141,                 1.1411,               0.008845,               0.008845,               0.008845
                     37,                 1.3286,                0.81097,                 1.2113,                0.93036,                0.90457,                0.95108,                0.62303,                 1.2248,                0.55838,                 1.1367,               0.008812,               0.008812,               0.008812
                     38,                 1.3255,                0.80918,                 1.2103,                0.93616,                0.90054,                0.95234,                0.62388,                 1.2348,                0.55819,                 1.1393,               0.008779,               0.008779,               0.008779
                     39,                 1.3292,                0.81196,                 1.2089,                0.94023,                0.90294,                0.95681,                0.62635,                 1.2311,                0.55252,                  1.139,               0.008746,               0.008746,               0.008746
                     40,                 1.3218,                0.80598,                  1.204,                0.93973,                0.90942,                0.95722,                0.62914,                 1.2238,                0.55172,                 1.1367,               0.008713,               0.008713,               0.008713
                     41,                 1.3338,                0.81222,                 1.2134,                0.94019,                0.90752,                0.95629,                0.62341,                 1.2387,                0.55316,                 1.1428,                0.00868,                0.00868,                0.00868
